id_municipio,uf,municipio,longitude,latitude
4327,RS,Três Palmeiras,-52.843718,-27.613889
4328,RS,Três Passos,-53.929631,-27.455471
4325,RS,Três de Maio,-54.235709,-27.780037
4331,RS,Tucunduva,-54.44388,-27.657292
4332,RS,Tunas,-52.953843,-29.103944
4333,RS,Tupanci do Sul,-51.538283,-27.924085
4334,RS,Tupanciretã,-53.844469,-29.085775
4335,RS,Tupandi,-51.417358,-29.477185
4336,RS,Tuparendi,-54.481434,-27.759768
4337,RS,Turuçu,-52.17059,-31.417284
4338,RS,Ubiretama,-54.685952,-28.040385
4340,RS,Unistalda,-55.151731,-29.039953
4339,RS,União da Serra,-52.023783,-28.783285
4341,RS,Uruguaiana,-57.085287,-29.761436
4342,RS,Vacaria,-50.941791,-28.507868
4344,RS,Vale Real,-51.255859,-29.391944
4345,RS,Vale Verde,-52.185747,-29.786445
4343,RS,Vale do Sol,-52.683901,-29.596724
4346,RS,Vanini,-51.844723,-28.475833
4347,RS,Venâncio Aires,-52.193159,-29.614306
4348,RS,Vera Cruz,-52.515176,-29.718435
4349,RS,Veranópolis,-51.551614,-28.931197
4350,RS,Vespasiano Correa,-51.862495,-29.065506
4351,RS,Viadutos,-52.021144,-27.571566
4352,RS,Viamão,-51.019435,-30.081899
4353,RS,Vicente Dutra,-53.402211,-27.160749
4354,RS,Victor Graeff,-52.749535,-28.563163
4355,RS,Vila Flores,-51.550371,-28.859825
4356,RS,Vila Lângaro,-52.143795,-28.106184
4357,RS,Vila Maria,-52.148648,-28.535853
4358,RS,Vila Nova do Sul,-53.876041,-30.346131
4359,RS,Vista Alegre,-53.491876,-27.368619
4360,RS,Vista Alegre do Prata,-51.79465,-28.805218
4361,RS,Vista Gaúcha,-53.697382,-27.290217
4362,RS,Vitória das Missões,-54.504022,-28.351612
5652,RS,Westfalia,-51.764455,-29.426275
4363,RS,Xangri-lá,-50.051932,-29.806493
3897,RS,Água Santa,-52.031004,-28.167228
3922,RS,Áurea,-52.050506,-27.693586
